playerName,playerId,year,team,salary,signingBonus,rosterBonus,workoutBonus,restructureBonus,optionBonus,incentive,totalCash
Matt Moore,4942,2007,panthers,"$285,000",-,-,-,-,-,-,"$285,000"
Matt Moore,4942,2007,dallas,-,"$15,000",-,-,-,-,-,"$15,000"
Matt Moore,4942,2008,panthers,"$370,000",-,-,-,-,-,-,"$370,000"
Matt Moore,4942,2009,panthers,"$460,000",-,-,-,-,-,-,"$460,000"
Matt Moore,4942,2010,panthers,"$3,043,000",-,-,-,-,-,-,"$3,043,000"
Matt Moore,4942,2011,dolphins,"$2,500,000","$1,500,000",-,-,-,-,-,"$4,000,000"
Matt Moore,4942,2012,dolphins,"$2,750,000",-,-,"$25,000",-,-,-,"$2,775,000"
Matt Moore,4942,2013,dolphins,"$1,000,000","$3,000,000",-,-,-,-,-,"$4,000,000"
Matt Moore,4942,2014,dolphins,"$4,000,000",-,-,-,-,-,-,"$4,000,000"
Matt Moore,4942,2015,dolphins,"$1,000,000","$1,600,000",-,-,-,-,-,"$2,600,000"
Matt Moore,4942,2016,dolphins,"$1,000,000","$750,000",-,"$25,000",-,-,-,"$1,775,000"
Matt Moore,4942,2017,dolphins,"$1,750,000",-,-,"$25,000",-,-,-,"$1,775,000"
Martin Wallace,12723,2013,browns,"$405,000","$6,000",-,-,-,-,-,"$411,000"
Martin Wallace,12723,2014,panthers,"$63,000",-,-,-,-,-,-,"$63,000"
Martin Wallace,12723,2015,bucs,"$6,600",-,-,-,-,-,-,"$6,600"
Martin Wallace,12723,2015,bucs,"$13,200",-,-,-,-,-,-,"$13,200"
Martin Wallace,12723,2015,bucs,"$6,600",-,-,-,-,-,-,"$6,600"
Martin Wallace,12723,2015,bears,"$52,800",-,-,-,-,-,-,"$52,800"
Martin Wallace,12723,2016,arizona2,"$6,900",-,-,-,-,-,-,"$6,900"
Martin Wallace,12723,2016,arizona2,"$6,900",-,-,-,-,-,-,"$6,900"
Martin Wallace,12723,2016,jets,"$20,700",-,-,-,-,-,-,"$20,700"
Martin Wallace,12723,2017,neworleans,"$540,000",-,-,-,-,-,-,"$540,000"
Nico Siragusa,21864,2017,ravens,"$348,000","$629,379",-,-,-,-,-,"$977,379"
Nico Siragusa,21864,2018,ravens,"$555,000",-,-,-,-,-,-,"$555,000"
Nico Siragusa,21864,2019,ravens,"$645,000",-,-,-,-,-,-,"$645,000"
Nico Siragusa,21864,2020,ravens,"$735,000",-,-,-,-,-,-,"$735,000"
Sam Young,6687,2010,dallas,"$320,000","$110,500",-,-,-,-,-,"$430,500"
Sam Young,6687,2011,buffalo,"$540,000",-,-,-,-,-,-,"$540,000"
Sam Young,6687,2012,buffalo,"$540,000",-,-,-,-,-,-,"$540,000"
Sam Young,6687,2013,buffalo,"$185,295",-,-,-,-,-,-,"$185,295"
Sam Young,6687,2014,jaguars,"$730,000",-,"$50,000",-,-,-,-,"$780,000"
Sam Young,6687,2015,jaguars,"$745,000",-,-,"$50,000",-,-,-,"$795,000"
Sam Young,6687,2016,dolphins,-,"$100,000","$50,000",-,-,-,-,"$150,000"
Sam Young,6687,2016,dolphins,"$536,470","$200,000",-,-,-,-,-,"$736,470"
Sam Young,6687,2017,dolphins,"$125,000",-,-,"$50,000",-,-,-,"$175,000"
Sam Young,6687,2017,dolphins,"$900,000",-,-,-,-,-,-,"$900,000"
Duke Riley,21817,2017,falcons,"$465,000","$889,752",-,-,-,-,-,"$1,354,752"
Duke Riley,21817,2018,falcons,"$616,500",-,-,-,-,-,-,"$616,500"
Duke Riley,21817,2019,falcons,"$726,500",-,-,-,-,-,-,"$726,500"
Duke Riley,21817,2020,falcons,"$820,000",-,-,-,-,-,-,"$820,000"
Ben Heeney,16866,2015,oakland,"$435,000","$242,724",-,-,-,-,"$147,069","$824,793"
Ben Heeney,16866,2016,oakland,"$389,645",-,-,-,-,-,-,"$389,645"
Ben Heeney,16866,2017,neworleans,"$7,200",-,-,-,-,-,-,"$7,200"
Ben Heeney,16866,2017,neworleans,"$36,176",-,-,-,-,-,-,"$36,176"
Ben Heeney,16866,2017,texans,"$470,294",-,-,-,-,-,-,"$470,294"
Tyler Bray,12569,2013,kansascity,"$405,000","$10,000",-,-,-,-,-,"$415,000"
Tyler Bray,12569,2014,kansascity,"$318,000",-,-,-,-,-,-,"$318,000"
Tyler Bray,12569,2015,kansascity,"$510,000",-,-,-,-,-,-,"$510,000"
Tyler Bray,12569,2016,kansascity,"$600,000",-,-,"$20,000",-,-,-,"$620,000"
Tyler Bray,12569,2017,kansascity,"$1,252,500",-,"$31,250","$35,000",-,-,-,"$1,318,750"
Antonio Garcia,21827,2017,patriots,"$465,000","$786,152",-,-,-,-,-,"$1,251,152"
Antonio Garcia,21827,2018,patriots,"$555,000",-,-,"$30,000",-,-,-,"$585,000"
Antonio Garcia,21827,2019,patriots,"$645,000",-,-,"$33,000",-,-,-,"$678,000"
Antonio Garcia,21827,2020,patriots,"$735,000",-,-,"$37,000",-,-,-,"$772,000"
Deshawn Shead,10429,2012,hawks3,"$390,000",-,-,-,-,-,-,"$390,000"
Deshawn Shead,10429,2013,hawks3,"$141,176",-,-,-,-,-,-,"$141,176"
