SEASON,PLAYER_ID,PLAYER_NAME,AGE,TM,LG,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1932,kerrda01,Dave Kerr,22,NYA,NHL,1,,0,1,0,6,,,,6,0,-0.3,60,,,,,,0,0,0,0
1932,leducal01,Albert Leduc,29,MTL,NHL,1,,0,1,0,1,,,,30,0,-0.1,2,,,,,,5,3,8,60
1932,levinal01,Alex Levinsky,21,TOR,NHL,1,,0,0,0,1,,,,60,0,-0.1,1,,,,,,5,5,10,27
1932,roachjo01,John Ross Roach,31,NYR,NHL,48,,23,17,8,112,,,,2.23,9,8.8,3010,,,,,,0,0,0,0
1932,robermo01,Moe Roberts,26,NYA,NHL,1,,1,0,0,1,,,,1,0,0.3,60,,,,,,0,0,0,0
1932,shielal01,Al Shields,24,NYA,NHL,2,,0,0,0,7,,,,11.22,0,-0.5,41,,,,,,4,1,5,45
1932,smithno01,Normie Smith,23,MTM,NHL,20,,5,11,4,62,,,,2.94,0,2,1267,,,,,,0,0,0,0
1932,starrha01,Harold Starr,25,MTM,NHL,1,,0,0,0,0,,,,0,0,0,3,,,,,,1,2,3,51
1932,thompti01,Tiny Thompson,28,BOS,NHL,43,,13,19,11,103,,,,2.29,9,7.6,2700,,,,,,0,0,0,0
1932,walshfl01,Flat Walsh,34,MTM,NHL,28,,14,11,3,77,,,,2.67,2,3.6,1730,,,,,,0,0,0,0
1932,wortero01,Roy Worters,31,NYA,NHL,40,,12,20,8,112,,,,2.73,5,4.9,2463,,,,,,0,0,0,0
1933,aitkean01,Andy Aitkenhead,28,NYR,NHL,48,,23,17,8,107,,,,2.16,3,8.1,2970,,,,,,0,0,0,0
1933,beverbi01,Bill Beveridge,23,OTS,NHL,33,,7,19,7,89,,,,2.59,5,3.8,2063,,,,,,0,0,0,0
1933,chabolo01,Lorne Chabot,32,TOR,NHL,48,,24,18,6,111,,,,2.26,5,7.4,2946,,,,,,0,0,0,4
1933,conacch01,Charlie Conacher,23,TOR,NHL,2,,0,0,0,0,,,,0,0,0,4,,,,,,14,19,33,64
1933,conneal01,Alec Connell,30,OTS,NHL,16,,4,8,3,42,,,,2.58,1,1.8,977,,,,,,0,0,0,0
1933,forbeja01,Jake Forbes,35,NYA,NHL,1,,0,0,1,2,,,,1.71,0,0.3,70,,,,,,0,0,0,0
1933,gardich01,Charlie Gardiner,28,CBH,NHL,48,,16,20,12,101,,,,2.01,5,9.2,3010,,,,,,0,0,0,0
1933,hainsge01,George Hainsworth,37,MTL,NHL,48,,18,25,5,115,,,,2.32,8,7.2,2980,,,,,,0,0,0,2
1933,kerrda01,Dave Kerr,23,MTM,NHL,26,,14,8,4,58,,,,2.15,4,4.5,1620,,,,,,0,0,0,0
1933,plaxthu01,Hugh Plaxton,28,MTM,NHL,1,,0,1,0,5,,,,5.26,0,-0.2,57,,,,,,1,3,4,4
1933,roachjo01,John Ross Roach,32,DET,NHL,48,,25,15,8,93,,,,1.88,10,9.9,2970,,,,,,0,0,0,0
1933,thompti01,Tiny Thompson,29,BOS,NHL,48,,25,15,8,88,,,,1.76,11,10.7,3000,,,,,,0,0,0,0
1933,walshfl01,Flat Walsh,35,MTM,NHL,22,,8,11,2,56,,,,2.58,2,2.4,1303,,,,,,0,0,0,0
